ts,cpu,ram,net_in_bps,net_out_bps,disk_read_bps,disk_write_bps,gpu_util,gpu_mem_used_mb,gpu_power_w,gpu_temp_c,gpu_clock_mhz,p1_cpu,p1_rss_mb,p1_threads,p1_age_s,p2_cpu,p2_rss_mb,p2_threads,p2_age_s,p3_cpu,p3_rss_mb,p3_threads,p3_age_s,p4_cpu,p4_rss_mb,p4_threads,p4_age_s,p5_cpu,p5_rss_mb,p5_threads,p5_age_s
2026-02-14 18:41:34,9.0,35.8,198904.2154517729,8087.2749763007005,35137.07589809352,1439522.078200019,42.0,1983.01171875,148.241,58.0,1980.0,99.8,38.421875,6.0,42.7846269607544,29.2,598.59765625,43.0,448.0185759067536,11.1,272.578125,174.0,8720.634427785873,9.0,30.7734375,13.0,9567.058837652206,7.9,61.4140625,36.0,9569.43969154358
2026-02-14 18:41:35,6.1,35.8,396182.6982712529,10691.44351516082,29049.520821292685,159772.36451710976,23.0,1934.6328125,101.145,55.0,1980.0,98.8,39.0859375,6.0,44.1765193939209,18.9,598.921875,43.0,449.4265260696411,7.8,442.58203125,88.0,8721.492450714111,5.6,174.61328125,166.0,9537.627018928528,4.4,3.17578125,403.0,1771083693.8053982
2026-02-14 18:41:36,6.0,35.8,460593.7564053775,13395.43870575881,8803.24905424988,464738.18965560826,27.0,1959.4453125,80.874,53.0,1815.0,99.1,39.09375,6.0,45.5637788772583,9.0,599.703125,43.0,450.8177738189697,6.8,270.65625,174.0,8723.413094043732,5.6,175.50390625,166.0,9539.013758420944,3.4,3.17578125,403.0,1771083695.2002175
2026-02-14 18:41:37,6.9,35.8,338330.4755086343,9446.289584132612,29676.332364325182,668088.4323518707,10.0,1888.3671875,70.974,51.0,1815.0,100.0,39.09375,6.0,46.93824076652527,30.5,599.9453125,43.0,452.19845962524414,25.0,271.29296875,174.0,8724.789108753204,14.7,30.7734375,13.0,9571.236181497574,9.1,60.75,36.0,9573.62069606781
2026-02-14 18:41:38,6.9,35.8,338330.4755086343,9446.289584132612,29676.332364325182,668088.4323518707,10.0,1888.3671875,70.974,51.0,1815.0,100.0,39.09375,6.0,46.93824076652527,30.5,599.9453125,43.0,452.19845962524414,25.0,271.29296875,174.0,8724.789108753204,14.7,30.7734375,13.0,9571.236181497574,9.1,60.75,36.0,9573.62069606781
2026-02-14 18:41:39,11.9,35.8,218336.17475454003,9140.860757078655,14844.566513755522,813111.1307909588,10.0,1872.3671875,58.612,50.0,1815.0,98.1,38.44921875,6.0,48.30770087242127,14.7,3.17578125,403.0,1771083697.9605944,13.6,30.8125,14.0,9572.609539985657,11.3,588.6171875,43.0,453.57548213005066,10.2,60.75,36.0,9574.994937181473
2026-02-14 18:41:40,6.1,35.8,219663.53727975997,7365.403692842815,20952.56024220549,350207.07833400613,10.0,1872.3671875,58.43,50.0,1815.0,100.5,39.09765625,6.0,49.6756591796875,9.1,3.17578125,403.0,1771083699.3294692,6.9,590.07421875,43.0,454.9373886585236,4.6,262.77734375,174.0,8727.52561378479,2.3,60.80078125,36.0,9576.36396074295
2026-02-14 18:41:41,6.1,35.8,219663.53727975997,7365.403692842815,20952.56024220549,350207.07833400613,10.0,1872.3671875,58.43,50.0,1815.0,100.5,39.09765625,6.0,49.6756591796875,9.1,3.17578125,403.0,1771083699.3294692,6.9,590.07421875,43.0,454.9373886585236,4.6,262.77734375,174.0,8727.52561378479,2.3,60.80078125,36.0,9576.36396074295
2026-02-14 18:41:42,5.6,35.8,173994.5426218366,6673.075728552796,9016.797289691747,114964.1654435698,8.0,1860.91796875,60.102,50.0,1815.0,98.3,39.1015625,6.0,51.05969309806824,14.8,589.5625,42.0,456.307498216629,11.3,262.72265625,175.0,8728.909735918045,2.3,3.17578125,403.0,1771083700.691897,2.3,317.4140625,276.0,9572.552289009094
2026-02-14 18:41:43,5.7,35.8,153159.55295967413,9097.886140762344,47358.14663391588,339646.70789011545,11.0,2231.671875,57.926,49.0,1815.0,99.9,39.1171875,6.0,52.46776938438416,12.3,591.58984375,42.0,457.70680975914,10.0,275.0859375,175.0,8730.316213130951,6.7,445.046875,88.0,8729.772026777267,6.7,21.953125,8.0,8725.32620549202
2026-02-14 18:41:44,8.4,35.8,2065372.3662729117,37952.48855323536,176336.22768441637,2808732.577440509,54.0,2211.546875,191.031,59.0,1980.0,99.6,39.125,6.0,53.863423347473145,23.5,272.51953125,175.0,8731.71085858345,14.4,593.7734375,42.0,459.11316323280334,10.0,30.7734375,13.0,9578.150740146635,8.8,3.17578125,403.0,1771083703.4930396
2026-02-14 18:41:45,8.4,35.8,2065372.3662729117,37952.48855323536,176336.22768441637,2808732.577440509,54.0,2211.546875,191.031,59.0,1980.0,99.6,39.125,6.0,53.863423347473145,23.5,272.51953125,175.0,8731.71085858345,14.4,593.7734375,42.0,459.11316323280334,10.0,30.7734375,13.0,9578.150740146635,8.8,3.17578125,403.0,1771083703.4930396
2026-02-14 18:41:46,9.3,35.8,1085766.0868976996,20324.80656751274,138490.39613226958,1398900.331144574,54.0,2198.71484375,191.17,59.0,1980.0,98.2,39.125,6.0,55.2641019821167,19.0,596.41015625,42.0,460.5081889629364,15.7,3.17578125,403.0,1771083704.8828454,12.3,272.51953125,175.0,8733.111216068268,7.9,60.80078125,36.0,9581.92477273941
2026-02-14 18:41:47,6.4,35.8,1158157.9466358507,21781.62485474065,58520.57026992733,1171874.4196552949,41.0,2211.60546875,171.232,57.0,1980.0,100.7,39.125,6.0,56.66103076934815,16.7,271.55078125,175.0,8734.511885881424,10.1,595.60546875,42.0,461.9023184776306,9.0,30.7734375,13.0,9580.94677734375,5.6,3.1796875,403.0,1771083706.2820776
2026-02-14 18:41:48,6.4,35.8,1158157.9466358507,21781.62485474065,58520.57026992733,1171874.4196552949,41.0,2211.60546875,171.232,57.0,1980.0,100.7,39.125,6.0,56.66103076934815,16.7,271.55078125,175.0,8734.511885881424,10.1,595.60546875,42.0,461.9023184776306,9.0,30.7734375,13.0,9580.94677734375,5.6,3.1796875,403.0,1771083706.2820776
2026-02-14 18:41:49,9.0,35.8,1166773.6705267602,25817.95780525705,0.0,1141980.8532861643,41.0,2211.60546875,146.957,57.0,1980.0,99.3,39.125,6.0,58.06122970581055,32.4,268.2890625,175.0,8735.911095380783,18.9,597.55859375,42.0,463.3067693710327,7.8,3.1796875,403.0,1771083707.6803904,7.8,60.75,36.0,9584.720180749891
2026-02-14 18:41:50,10.1,35.8,1033169.0992846568,17815.123537116146,58627.52260316373,1331944.0291406258,41.0,2199.73046875,147.262,57.0,1980.0,100.8,39.125,6.0,59.45603561401367,26.9,599.453125,42.0,464.703400850296,22.4,267.55859375,175.0,8737.305366277695,6.7,3.1796875,403.0,1771083709.0779445,6.7,60.83984375,36.0,9586.121854543686
2026-02-14 18:41:51,10.8,35.8,1354947.2728899268,23438.458581823277,11732.118581345245,1291266.3013593107,41.0,2196.328125,147.651,57.0,1980.0,99.3,39.01953125,3.0,60.85711860656738,28.0,600.8515625,42.0,466.09918665885925,11.2,30.80859375,14.0,9585.140961170197,11.2,267.4609375,175.0,8738.705967187881,10.1,3.1796875,403.0,1771083710.474851
2026-02-14 18:41:52,10.8,35.8,1354947.2728899268,23438.458581823277,11732.118581345245,1291266.3013593107,41.0,2196.328125,147.651,57.0,1980.0,99.3,39.01953125,3.0,60.85711860656738,28.0,600.8515625,42.0,466.09918665885925,11.2,30.80859375,14.0,9585.140961170197,11.2,267.4609375,175.0,8738.705967187881,10.1,3.1796875,403.0,1771083710.474851
2026-02-14 18:41:53,5.9,35.8,565417.6764453003,12514.165222126125,0.0,888239.1069274719,42.0,2228.0703125,148.453,58.0,1980.0,100.3,38.98828125,3.0,62.2742178440094,29.8,268.18359375,174.0,8740.121285676956,15.6,601.28125,42.0,467.5024380683899,5.6,3.1796875,403.0,1771083711.873967,4.4,110.0,35.0,9558.58226966858
2026-02-14 18:41:54,10.0,35.8,395088.8037781742,6485.3820141573615,0.0,341214.7987571009,26.0,1956.3671875,105.576,55.0,1980.0,98.8,39.015625,3.0,63.71726679801941,56.1,602.40625,42.0,468.95147466659546,23.8,268.71875,175.0,8741.563110351562,9.8,3.1796875,403.0,1771083713.3141448,9.7,30.7734375,13.0,9587.995728731155
2026-02-14 18:41:55,10.0,35.8,395088.8037781742,6485.3820141573615,0.0,341214.7987571009,26.0,1956.3671875,105.576,55.0,1980.0,98.8,39.015625,3.0,63.71726679801941,56.1,602.40625,42.0,468.95147466659546,23.8,268.71875,175.0,8741.563110351562,9.8,3.1796875,403.0,1771083713.3141448,9.7,30.7734375,13.0,9587.995728731155
2026-02-14 18:41:56,11.9,35.8,450642.0653534454,15730.472268274918,0.0,368282.95814072015,27.0,1956.5703125,85.903,53.0,1815.0,99.8,39.01953125,3.0,65.13871645927429,51.6,603.7109375,42.0,470.3748798370361,19.7,268.75,175.0,8742.987878322601,9.8,3.1796875,403.0,1771083714.7462535,8.8,443.046875,88.0,8742.441053628922
2026-02-14 18:41:57,10.0,35.7,444859.833050366,10495.080030421024,2900.27309436004,520961.5545744222,28.0,1908.8671875,79.723,52.0,1815.0,100.1,39.02734375,3.0,66.54326725006104,66.5,554.34765625,42.0,471.7846443653106,27.8,269.23828125,175.0,8744.392620801926,13.3,3.1796875,403.0,1771083716.1579068,6.7,443.078125,88.0,8743.850613594055
2026-02-14 18:41:58,9.6,35.7,188839.34666529336,6814.04723828936,34924.30134060465,410724.335557736,10.0,1888.8671875,58.427,50.0,1815.0,100.2,39.03515625,3.0,67.94630813598633,35.7,554.48046875,42.0,473.18380641937256,15.6,648.3359375,11.0,8493.956129550934,12.3,268.33984375,175.0,8745.79613828659,10.0,3.1796875,403.0,1771083717.5631962
2026-02-14 18:41:59,9.6,35.7,188839.34666529336,6814.04723828936,34924.30134060465,410724.335557736,10.0,1888.8671875,58.427,50.0,1815.0,100.2,39.03515625,3.0,67.94630813598633,35.7,554.48046875,42.0,473.18380641937256,15.6,648.3359375,11.0,8493.956129550934,12.3,268.33984375,175.0,8745.79613828659,10.0,3.1796875,403.0,1771083717.5631962
2026-02-14 18:42:00,7.4,35.5,1519635.106611953,27196.57615518716,75770.4793779676,1410496.6161129354,42.0,2168.66796875,129.204,57.0,1995.0,100.1,39.04296875,3.0,69.3514678478241,10.0,3.1796875,403.0,1771083718.9678807,8.9,554.80859375,42.0,474.5924437046051,8.9,277.40234375,175.0,8747.201750516891,3.3,110.28515625,148.0,9596.015330791472
2026-02-14 18:42:01,7.4,35.4,1207213.7001959174,23877.056511952043,139927.280297531,1433525.8351314764,42.0,2165.6875,148.998,57.0,1995.0,100.0,39.04296875,3.0,70.75772714614868,18.9,539.10546875,42.0,476.00142192840576,18.9,277.36328125,175.0,8748.608114480972,7.8,3.1796875,403.0,1771083720.3753903,7.8,30.8125,14.0,9595.04481124878
2026-02-14 18:42:02,7.4,35.4,1207213.7001959174,23877.056511952043,139927.280297531,1433525.8351314764,42.0,2165.6875,148.998,57.0,1995.0,100.0,39.04296875,3.0,70.75772714614868,18.9,539.10546875,42.0,476.00142192840576,18.9,277.36328125,175.0,8748.608114480972,7.8,3.1796875,403.0,1771083720.3753903,7.8,30.8125,14.0,9595.04481124878
2026-02-14 18:42:03,9.5,35.5,1230490.532761928,24882.02277662627,157549.1047127363,1426694.6704542232,57.0,2167.1875,180.523,60.0,1980.0,100.0,39.04296875,3.0,72.14851498603821,17.8,3.1796875,403.0,1771083721.7771068,12.4,275.96875,175.0,8749.99923658371,12.3,542.35546875,42.0,477.3962194919586,9.0,443.71484375,87.0,8749.460717439651
2026-02-14 18:42:04,6.8,35.4,1053964.3455359146,18646.968482075543,91392.9621330152,1593849.0371987529,43.0,2167.04296875,187.534,60.0,1980.0,99.3,39.046875,3.0,73.54812598228455,17.9,275.40234375,175.0,8751.396283864975,13.4,547.0625,42.0,478.794545173645,9.0,3.1796875,403.0,1771083723.1693778,6.7,22.046875,8.0,8746.415417194366
2026-02-14 18:42:05,9.2,35.5,1290179.9881806113,22105.13468447894,204728.4778323471,1536194.7568777187,44.0,2171.625,148.348,58.0,1980.0,99.8,39.046875,3.0,74.95706272125244,16.7,553.79296875,42.0,480.196088552475,14.5,3.1796875,403.0,1771083724.568257,12.2,273.44140625,175.0,8752.80606341362,7.8,445.69921875,87.0,8752.262048959732
2026-02-14 18:42:06,9.2,35.5,1290179.9881806113,22105.13468447894,204728.4778323471,1536194.7568777187,44.0,2171.625,148.348,58.0,1980.0,99.8,39.046875,3.0,74.95706272125244,16.7,553.79296875,42.0,480.196088552475,14.5,3.1796875,403.0,1771083724.568257,12.2,273.44140625,175.0,8752.80606341362,7.8,445.69921875,87.0,8752.262048959732
